"rank","title","link","rating","votes","episodes","year","user_reviews","critic_reviews","popularity"
"1","1. Breaking Bad","https://www.imdb.com/title/tt0903747/?ref_=chttvtp_t_1","9.0","N/A","Episodes62","N/A","N/A","5K","N/A"
"2","2. Planet Earth II","https://www.imdb.com/title/tt5491994/?ref_=chttvtp_t_2","9.3","N/A","Episodes6","N/A","N/A","158","N/A"
"3","3. Planet Earth","https://www.imdb.com/title/tt0795176/?ref_=chttvtp_t_3","9.3","N/A","Episodes11","N/A","N/A","111","N/A"
"4","4. Band of Brothers","https://www.imdb.com/title/tt0185906/?ref_=chttvtp_t_4","9.3","N/A","Episodes10","N/A","N/A","1K","N/A"
"5","5. Chernobyl","https://www.imdb.com/title/tt7366338/?ref_=chttvtp_t_5","9.0","N/A","Episodes5","N/A","N/A","3.5K","N/A"
"6","6. The Wire","https://www.imdb.com/title/tt0306414/?ref_=chttvtp_t_6","9.2","N/A","Episodes60","N/A","N/A","786","N/A"
"7","7. Avatar: The Last Airbender","https://www.imdb.com/title/tt0417299/?ref_=chttvtp_t_7","8.3","N/A","Episodes62","N/A","N/A","997","N/A"
"8","8. Blue Planet II","https://www.imdb.com/title/tt6769208/?ref_=chttvtp_t_8","9.0","N/A","Episodes7","N/A","N/A","53","N/A"
"9","9. The Sopranos","https://www.imdb.com/title/tt0141842/?ref_=chttvtp_t_9","9.5","N/A","Episodes86","N/A","N/A","961","N/A"
"10","10. Cosmos: A Spacetime Odyssey","https://www.imdb.com/title/tt2395695/?ref_=chttvtp_t_10","9.3","N/A","Episodes13","N/A","N/A","205","N/A"
"11","11. Cosmos","https://www.imdb.com/title/tt0081846/?ref_=chttvtp_t_11","9.2","N/A","Episodes13","N/A","N/A","80","N/A"
"12","12. Our Planet","https://www.imdb.com/title/tt9253866/?ref_=chttvtp_t_12","9.3","N/A","Episodes12","N/A","N/A","245","N/A"
"13","13. Game of Thrones","https://www.imdb.com/title/tt0944947/?ref_=chttvtp_t_13","9.5","N/A","Episodes74","N/A","N/A","5.8K","N/A"
"14","14. Bluey","https://www.imdb.com/title/tt7678620/?ref_=chttvtp_t_14","8.4","N/A","Episodes194","N/A","N/A","366","N/A"
"15","15. The World at War","https://www.imdb.com/title/tt0071075/?ref_=chttvtp_t_15","9.1","N/A","Episodes26","N/A","N/A","126","N/A"
"16","16. Fullmetal Alchemist Brotherhood","https://www.imdb.com/title/tt1355642/?ref_=chttvtp_t_16","9.0","N/A","Episodes68","N/A","N/A","465","N/A"
"17","17. Rick and Morty","https://www.imdb.com/title/tt2861424/?ref_=chttvtp_t_17","9.5","N/A","Episodes78","N/A","N/A","908","N/A"
"18","18. Life","https://www.imdb.com/title/tt1533395/?ref_=chttvtp_t_18","9.0","N/A","Episodes11","N/A","N/A","12","N/A"
"19","19. The Last Dance","https://www.imdb.com/title/tt8420184/?ref_=chttvtp_t_19","9.3","N/A","Episodes10","N/A","N/A","541","N/A"
"20","20. The Twilight Zone","https://www.imdb.com/title/tt0052520/?ref_=chttvtp_t_20","7.7","N/A","Episodes156","N/A","N/A","213","N/A"
"21","21. The Vietnam War","https://www.imdb.com/title/tt1877514/?ref_=chttvtp_t_21","9.0","N/A","Episodes10","N/A","N/A","175","N/A"
"22","22. Sherlock","https://www.imdb.com/title/tt1475582/?ref_=chttvtp_t_22","9.3","N/A","Episodes15","N/A","N/A","1K","N/A"
"23","23. Attack on Titan","https://www.imdb.com/title/tt2560140/?ref_=chttvtp_t_23","8.9","N/A","Episodes98","N/A","N/A","2.3K","N/A"
"24","24. Batman: The Animated Series","https://www.imdb.com/title/tt0103359/?ref_=chttvtp_t_24","8.4","N/A","Episodes85","N/A","N/A","219","N/A"
"25","25. The Office","https://www.imdb.com/title/tt0386676/?ref_=chttvtp_t_25","8.9","N/A","Episodes188","N/A","N/A","1.7K","N/A"
NA,"Recently viewed",NA,"9.0","N/A","Episodes62","N/A","N/A","5K","N/A"
NA,NA,NA,"9.3","N/A","Episodes6","N/A","N/A","158","N/A"
NA,NA,NA,"9.3","N/A","Episodes11","N/A","N/A","111","N/A"
NA,NA,NA,"9.3","N/A","Episodes10","N/A","N/A","1K","N/A"
NA,NA,NA,"9.0","N/A","Episodes5","N/A","N/A","3.5K","N/A"
NA,NA,NA,"9.2","N/A","Episodes60","N/A","N/A","786","N/A"
NA,NA,NA,"8.3","N/A","Episodes62","N/A","N/A","997","N/A"
NA,NA,NA,"9.0","N/A","Episodes7","N/A","N/A","53","N/A"
NA,NA,NA,"9.5","N/A","Episodes86","N/A","N/A","961","N/A"
NA,NA,NA,"9.3","N/A","Episodes13","N/A","N/A","205","N/A"
NA,NA,NA,"9.2","N/A","Episodes13","N/A","N/A","80","N/A"
NA,NA,NA,"9.3","N/A","Episodes12","N/A","N/A","245","N/A"
NA,NA,NA,"9.5","N/A","Episodes74","N/A","N/A","5.8K","N/A"
